Sample Name	Protocol REF	Comment[description]	Parameter Value[Amount of RNA used]	Unit	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Hybridization Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Hybridization Duration]	Unit	Term Source REF	Term Accession Number	Hybridization Assay Name	Protocol REF	Array Design REF	Array Data File	Protocol REF	Parameter Value[Raw Intensities Table]	Parameter Value[Normalized Expression Table]
Atha_WS-0_Col-0_Shoot_FLT_Rep5	RNA Extraction	FLIGHT TAGES 2B plate6 SHOOTS Rep2	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	F6S2	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Shoot_FLT_Rep5	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8414_Ferl_Paul_F6S2_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Shoot_GC_Rep1	RNA Extraction	GROUND CONTROL TAGES 2B plate2 SHOOTS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	G2S1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Shoot_GC_Rep1	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8415_Ferl_Paul_G2S1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Shoot_GC_Rep2	RNA Extraction	GROUND CONTROL TAGES 2B plate4 SHOOTS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	G4S1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Shoot_GC_Rep2	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8416_Ferl_Paul_G4S1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Shoot_GC_Rep3	RNA Extraction	GROUND CONTROL TAGES 2B plate6 SHOOTS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	G6S1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Shoot_GC_Rep3	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8418_Ferl_Paul_G6S1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Shoot_GC_Rep4	RNA Extraction	GROUND CONTROL TAGES 2B plate4 SHOOTS Rep2	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	G4S2	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Shoot_GC_Rep4	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8417_Ferl_Paul_G4S2_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Shoot_GC_Rep5	RNA Extraction	GROUND CONTROL TAGES 2B plate6 SHOOTS Rep2	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	G6S2	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Shoot_GC_Rep5	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8419_Ferl_Paul_G6S2_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Hypocotyl_FLT_Rep1	RNA Extraction	FLIGHT TAGES 2B plate2 HYPOCOTYLS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	F2H1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Hypocotyl_FLT_Rep1	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8420_Ferl_Paul_F2H1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Hypocotyl_FLT_Rep2	RNA Extraction	FLIGHT TAGES 2B plate4 HYPOCOTYLS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	F4H1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Hypocotyl_FLT_Rep2	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8421_Ferl_Paul_F4H1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Hypocotyl_FLT_Rep3	RNA Extraction	FLIGHT TAGES 2B plate6 HYPOCOTYLS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	F6H1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Hypocotyl_FLT_Rep3	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8423_Ferl_Paul_F6H1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Hypocotyl_FLT_Rep4	RNA Extraction	FLIGHT TAGES 2B plate4 HYPOCOTYLS Rep2	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	F4H2	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Hypocotyl_FLT_Rep4	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8422_Ferl_Paul_F4H2_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Hypocotyl_FLT_Rep5	RNA Extraction	FLIGHT TAGES 2B plate6 HYPOCOTYLS Rep2	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	F6H2	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Hypocotyl_FLT_Rep5	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8424_Ferl_Paul_F6H2_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Hypocotyl_GC_Rep1	RNA Extraction	GROUND CONTROL TAGES 2B plate2 HYPOCOTYLS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	G2H1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Hypocotyl_GC_Rep1	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8425_Ferl_Paul_G2H1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Hypocotyl_GC_Rep2	RNA Extraction	GROUND CONTROL TAGES 2B plate4 HYPOCOTYLS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	G4H1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Hypocotyl_GC_Rep2	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8426_Ferl_Paul_G4H1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Hypocotyl_GC_Rep3	RNA Extraction	GROUND CONTROL TAGES 2B plate6 HYPOCOTYLS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	G6H1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Hypocotyl_GC_Rep3	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8428_Ferl_Paul_G6H1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Hypocotyl_GC_Rep4	RNA Extraction	GROUND CONTROL TAGES 2B plate4 HYPOCOTYLS Rep2	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	G4H2	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Hypocotyl_GC_Rep4	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8427_Ferl_Paul_G4H2_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Hypocotyl_GC_Rep5	RNA Extraction	GROUND CONTROL TAGES 2B plate6 HYPOCOTYLS Rep2	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	G6H2	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Hypocotyl_GC_Rep5	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8429_Ferl_Paul_G6H2_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Root_FLT_Rep1	RNA Extraction	FLIGHT TAGES 2B plate2 ROOTS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	F2R1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Root_FLT_Rep1	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8430_Ferl_Paul_F2R1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Root_FLT_Rep2	RNA Extraction	FLIGHT TAGES 2B plate4 ROOTS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	F4R1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Root_FLT_Rep2	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8431_Ferl_Paul_F4R1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Root_FLT_Rep3	RNA Extraction	FLIGHT TAGES 2B plate6 ROOTS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	F6R1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Root_FLT_Rep3	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8433_Ferl_Paul_F6R1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Root_FLT_Rep4	RNA Extraction	FLIGHT TAGES 2B plate4 ROOTS Rep2	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	F4R2	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Root_FLT_Rep4	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8432_Ferl_Paul_F4R2_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Root_FLT_Rep5	RNA Extraction	FLIGHT TAGES 2B plate6 ROOTS Rep2	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	F6R2	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Root_FLT_Rep5	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8434_Ferl_Paul_F6R2_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Root_GC_Rep1	RNA Extraction	GROUND CONTROL TAGES 2B plate2 ROOTS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	G2R1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Root_GC_Rep1	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8437_Ferl_Paul_G2R1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Root_GC_Rep2	RNA Extraction	GROUND CONTROL TAGES 2B plate4 ROOTS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	G4R1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Root_GC_Rep2	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8435_Ferl_Paul_G4R1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Root_GC_Rep3	RNA Extraction	GROUND CONTROL TAGES 2B plate6 ROOTS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	G6R1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Root_GC_Rep3	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8438_Ferl_Paul_G6R1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
